@relation 'HFE-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R732-738_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.999-A3-M-1_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A184-N1000-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute Source_57 numeric
@attribute Source_58 numeric
@attribute Source_59 numeric
@attribute Source_60 numeric
@attribute Source_61 numeric
@attribute Source_62 numeric
@attribute Source_63 numeric
@attribute Source_64 numeric
@attribute Source_65 numeric
@attribute Source_66 numeric
@attribute Source_67 numeric
@attribute Source_68 numeric
@attribute Source_69 numeric
@attribute Source_70 numeric
@attribute Source_71 numeric
@attribute Source_72 numeric
@attribute Source_73 numeric
@attribute Source_74 numeric
@attribute Source_75 numeric
@attribute Source_76 numeric
@attribute Source_77 numeric
@attribute Source_78 numeric
@attribute Source_79 numeric
@attribute Source_80 numeric
@attribute Source_81 numeric
@attribute Source_82 numeric
@attribute Source_83 numeric
@attribute Source_84 numeric
@attribute Source_85 numeric
@attribute Source_86 numeric
@attribute Source_87 numeric
@attribute Source_88 numeric
@attribute Source_89 numeric
@attribute Source_90 numeric
@attribute Source_91 numeric
@attribute Source_92 numeric
@attribute Source_93 numeric
@attribute Source_94 numeric
@attribute Source_95 numeric
@attribute Source_96 numeric
@attribute Source_97 numeric
@attribute Source_98 numeric
@attribute Source_99 numeric
@attribute Source_100 numeric
@attribute Source_101 numeric
@attribute Source_102 numeric
@attribute Source_103 numeric
@attribute Source_104 numeric
@attribute Source_105 numeric
@attribute Source_106 numeric
@attribute Source_107 numeric
@attribute Source_108 numeric
@attribute Source_109 numeric
@attribute Source_110 numeric
@attribute Source_111 numeric
@attribute Source_112 numeric
@attribute Source_113 numeric
@attribute Source_114 numeric
@attribute Source_115 numeric
@attribute Source_116 numeric
@attribute Source_117 numeric
@attribute Source_118 numeric
@attribute Source_119 numeric
@attribute Source_120 numeric
@attribute Source_121 numeric
@attribute Source_122 numeric
@attribute Source_123 numeric
@attribute Source_124 numeric
@attribute Source_125 numeric
@attribute Source_126 numeric
@attribute Source_127 numeric
@attribute Source_128 numeric
@attribute Source_129 numeric
@attribute Source_130 numeric
@attribute Source_131 numeric
@attribute Source_132 numeric
@attribute Source_133 numeric
@attribute Source_134 numeric
@attribute Source_135 numeric
@attribute Source_136 numeric
@attribute Source_137 numeric
@attribute Source_138 numeric
@attribute Source_139 numeric
@attribute Source_140 numeric
@attribute Source_141 numeric
@attribute Source_142 numeric
@attribute Source_143 numeric
@attribute Source_144 numeric
@attribute Source_145 numeric
@attribute Source_146 numeric
@attribute Source_147 numeric
@attribute Source_148 numeric
@attribute Source_149 numeric
@attribute Source_150 numeric
@attribute Source_151 numeric
@attribute Source_152 numeric
@attribute Source_153 numeric
@attribute Source_154 numeric
@attribute Source_155 numeric
@attribute Source_156 numeric
@attribute Source_157 numeric
@attribute Source_158 numeric
@attribute Source_159 numeric
@attribute Source_160 numeric
@attribute Source_161 numeric
@attribute Source_162 numeric
@attribute Source_163 numeric
@attribute Source_164 numeric
@attribute Source_165 numeric
@attribute Source_166 numeric
@attribute Source_167 numeric
@attribute Source_168 numeric
@attribute Source_169 numeric
@attribute Source_170 numeric
@attribute Source_171 numeric
@attribute Source_172 numeric
@attribute Source_173 numeric
@attribute Source_174 numeric
@attribute Source_175 numeric
@attribute Source_176 numeric
@attribute Source_177 numeric
@attribute Source_178 numeric
@attribute Source_179 numeric
@attribute Source_180 numeric
@attribute Source_181 numeric
@attribute Source_182 numeric
@attribute Class {Insoluble,Soluble}

@data
0.004213,-0.09611,-0.006019,-0.117631,-0.077691,0.009891,-0.036269,-0.031411,0.16785,0.058336,-0.04639,-0.020666,0.01143,-0.066866,-0.023087,0.023596,0.02633,0.027241,-0.040607,0.088425,-0.12289,-0.039932,-0.003209,-0.054614,-0.12239,0.061506,-0.039384,-0.027748,-0.00384,-0.023916,-0.015634,0.084948,-0.055561,0.090385,0.181697,-0.026758,-0.095942,-0.201406,0.067249,0.05647,-0.028133,0.040654,-0.08799,0.009278,0.145201,0.055722,-0.051961,0.08356,-0.002726,0.038423,0.097307,-0.007619,0.050052,0.001363,-0.135785,-0.106246,-0.12615,0.087838,-0.077861,0.006637,-0.003488,-0.03971,0.004109,-0.056597,0.050623,0.105063,0.016658,-0.086676,-0.027567,-0.041576,-0.107116,-0.00343,-0.012715,-0.065625,0.064009,-0.048168,0.009533,-0.068597,0.072532,0.08674,0.012958,-0.11985,-0.122553,-0.067781,0.128415,0.021253,-0.063868,-0.050701,-0.000168,-0.000765,0.090658,0.142717,-0.100578,0.025504,-0.021529,0.081064,-0.030505,-0.012359,-0.031812,-0.086493,-0.02729,0.076376,-0.023829,0.029811,0.000148,-0.025787,-0.000534,0.099575,-0.102971,0.066938,0.004741,0.042187,-0.072952,-0.041383,0.033505,-0.133677,0.124347,0.080603,0.031099,-0.010124,0.121465,-0.099157,-0.057455,0.047144,0.158573,-0.107699,-0.009151,0.048585,-0.005554,-0.073965,-0.070639,0.058198,-0.096171,0.028081,-0.051003,0.02497,0.00834,-0.04416,-0.004653,0.01849,0.098903,0.157021,-0.025905,0.10998,0.033252,-0.113619,-0.085884,-0.080087,0.034289,-0.116131,-0.06753,-0.034975,0.006517,0.04144,0.030058,0.034741,-0.093582,-0.021081,0.173592,0.019874,0.077021,-0.014394,0.141925,0.026055,0.11715,0.040131,-0.08751,0.048793,0.001177,-0.034297,-0.042353,0.006887,0.118787,-0.040128,0.033637,0.032642,0.00061,0.031365,0.045646,0.006689,0.005747,-0.191836,-0.163516,Insoluble
0.024129,-0.018884,0.018654,-0.041988,-0.020277,0.017906,-0.021131,-0.062326,-0.000492,-0.043034,0.029229,0.00276,-0.015782,-0.033699,0.154834,-0.082885,-0.052735,0.08326,0.000261,0.080118,-0.04393,-0.070813,0.00624,0.060488,-0.05048,0.093655,0.018041,0.103285,-0.036473,0.007458,0.043054,-0.031064,-0.114657,-0.001259,0.021849,-0.017366,0.067249,0.034603,-0.033724,0.050787,0.063213,0.08149,0.097253,-0.045196,-0.028316,-0.058309,0.058165,-0.025621,0.044748,-0.06821,-0.040653,0.10978,0.038396,0.048272,-0.061915,0.009374,-0.001994,0.041879,-0.026915,0.165668,-0.024373,0.071981,-0.019375,0.066528,-0.091888,-0.027594,0.046846,0.120122,0.03099,0.054919,-0.055657,-0.029458,-0.103908,-0.105837,-0.013952,-0.072198,0.038679,-0.076395,-0.032924,-0.102021,0.086857,-0.051145,0.048517,-0.020578,-0.037386,0.017373,0.008753,0.013885,-0.031158,-0.082542,0.072323,-0.041087,-0.043353,0.030712,-0.09504,0.069873,0.005748,-0.028919,-0.005235,-0.027548,-0.012674,0.02838,-0.099056,0.041969,-0.007831,-0.080185,0.045816,0.084766,0.135637,-0.077987,-0.037015,-0.147944,-0.038087,0.069785,-0.125467,-0.005402,-0.058257,-0.017471,0.049356,-0.067523,0.029837,0.029023,-0.058924,0.016944,0.059326,-0.026267,0.056621,0.039482,0.059556,0.016053,-0.007269,0.056532,-0.017111,0.038821,0.016618,0.036653,0.029644,0.091677,0.033504,-0.059417,-0.032497,0.000696,-0.061458,-0.069905,0.037167,0.003153,-0.062443,0.046187,0.038977,-0.08337,0.005739,0.023116,0.026861,0.00856,0.082373,0.047899,-0.09581,0.041195,-0.072887,0.005599,0.057259,-0.018136,-0.07872,0.010092,0.053874,0.015926,-0.011366,0.078126,-0.054344,0.037857,0.070069,-0.048861,0.116364,-0.031304,0.050601,0.012915,0.004645,-0.075103,-0.045946,0.043824,0.088723,0.05042,0.064062,Insoluble
-0.00531,0.054155,0.007153,-0.023329,-0.086544,0.026682,0.015676,-0.048596,-0.008224,-0.018547,0.057691,-0.034576,-0.029626,-0.066463,0.09723,-0.058963,-0.038613,0.091544,-0.00955,0.041577,0.025098,-0.083108,-0.014141,0.003977,0.051901,0.01826,-0.013587,0.026792,-0.046263,0.060484,0.02131,0.023701,0.02541,0.030796,0.020921,-0.027991,0.024792,0.003458,0.018421,-0.021175,0.025308,-0.026961,0.052529,-0.019583,-0.01637,-0.086967,-0.03312,0.013018,-0.067259,0.014189,-0.011821,0.043899,0.055644,-0.060264,-0.068335,-0.031066,-0.041374,0.001609,-0.025444,0.0063,-0.060258,-0.050001,0.091785,0.064208,0.049817,-0.027111,-0.05789,-0.017047,0.10092,-0.008471,-0.021336,0.045047,-0.004619,0.008368,-0.017171,0.020284,-0.018923,0.037813,0.036132,-0.054257,-0.010985,0.080315,0.008659,0.06528,0.014793,0.052022,-0.068432,0.062399,-0.064305,-0.040352,0.012297,-0.035739,0.010404,0.042641,0.05278,-0.00478,-0.010513,0.050813,0.03599,-0.055635,0.025998,0.027906,-0.058207,0.072131,0.052828,0.018692,-0.035838,0.099396,0.041483,-0.016617,0.041804,0.072668,-0.030592,0.107067,-0.008715,-0.018992,-0.035523,-0.082359,0.002769,0.017986,-0.048819,-0.020298,-0.079307,-0.154836,-0.003696,0.059738,-0.037031,0.015396,-0.0323,0.058321,0.04854,-0.004309,-0.006547,0.054002,0.051103,-0.057363,0.033917,0.004154,0.045052,-0.043833,-0.004554,-0.003307,-0.021673,0.04341,0.044864,-0.004026,-0.016749,-0.016106,0.058038,-0.015242,-0.024171,0.004345,-0.033975,0.014196,0.076918,-0.024737,-0.013106,0.062435,-0.00345,0.020437,0.038786,0.006152,-0.027276,0.028541,-0.074129,0.011776,-0.028729,0.043906,0.011101,0.096019,0.022303,-0.059487,-0.02964,0.000796,-0.010753,0.039706,0.045039,0.004916,-0.053819,0.001828,-0.002523,-0.099309,-0.038363,Insoluble
-0.023802,0.04931,0.029411,0.037007,-0.032003,0.067347,-0.038334,-0.033907,0.014074,0.034952,0.007548,0.014202,-0.059714,-0.085797,0.080347,0.01867,0.007204,0.174449,-0.092026,-0.159074,0.002647,0.069645,0.061089,0.056224,-0.085371,0.035275,0.069289,-0.060108,0.017249,0.033903,-0.066792,-0.022291,0.058309,-0.088251,0.082221,0.100727,-0.018225,0.086642,0.059273,-0.015361,0.123216,0.047561,0.067366,0.064693,-0.052265,0.034983,-0.013642,-0.004078,0.053184,0.063306,-0.194621,0.087718,0.053146,-0.043358,0.017302,-0.19913,0.015007,-0.005357,0.140286,-0.086584,-0.083374,-0.027851,-0.022687,0.03821,-0.025725,0.023505,0.030614,0.010432,0.109365,-0.013616,-0.038725,0.155661,-0.025089,0.123863,-0.023703,-0.092856,0.079989,0.038382,0.037695,0.010981,0.132893,0.010382,-0.026491,0.069778,-0.054496,-0.0735,-0.107596,-0.019115,-0.045138,0.062489,-0.138784,0.021549,-0.094331,0.107691,-0.017157,0.083176,-0.076336,-0.016776,-0.007137,0.028576,0.06098,-0.005648,-0.000491,-0.083097,0.045625,0.027322,-0.015756,0.007564,-0.034851,0.069905,-0.15439,-0.000453,0.115848,-0.090124,-0.040977,-0.124976,-0.091719,0.059723,0.088255,0.037976,0.114641,0.031751,0.034938,0.001905,-0.039035,-0.0982,-0.094191,0.026418,0.053604,0.090958,0.038109,0.019097,-0.051052,0.10732,0.015929,-0.130072,-0.093484,-0.082518,-0.105396,0.012787,-0.034872,-0.024559,-0.024326,-0.006671,-0.037529,-0.053347,0.073511,0.04243,-0.001306,-0.036117,-0.017933,0.086796,0.061711,-0.159798,0.101043,0.032944,-0.042487,0.018498,-0.006306,0.063188,-0.178029,0.134658,0.002415,0.021415,0.041144,0.09224,0.162967,-0.129785,-0.042531,-0.057143,-0.131296,0.08737,0.086554,-0.103356,0.11388,-0.076861,-0.013885,-0.059311,-0.006174,-0.063828,-0.071426,0.036853,-0.125075,Insoluble
-0.029264,0.02708,-0.051613,-0.015984,0.022864,0.020871,-0.018109,-0.020119,0.016037,-0.026313,0.079106,-0.002748,-0.03754,0.02569,0.023686,-0.023438,0.000416,0.029939,0.01708,0.019194,0.017694,-0.072803,-0.008302,0.019737,0.0144,-0.028088,-0.046113,-0.011271,0.014722,0.027486,0.047132,0.083573,-0.082077,0.055907,0.079129,0.000241,0.011866,0.058926,-0.014013,0.040869,0.030831,0.021565,0.039966,-0.014887,-0.073608,0.03221,0.027132,0.096572,-0.09874,0.007004,-0.024824,0.03123,0.011831,-0.083823,-0.007638,0.031218,-0.062254,0.026606,-0.074087,0.016926,-0.011712,0.011155,0.046247,0.050003,-0.082474,-0.06309,0.052918,0.005665,0.028393,0.017638,0.010074,-0.017542,-0.014611,0.038949,-0.025971,0.04684,-0.037988,-0.024427,0.025054,0.005314,-0.024098,0.062722,0.015077,0.01645,-0.04754,-0.036299,-0.030039,0.061403,-0.029036,0.011645,0.028528,-0.005703,0.036265,0.069725,0.05123,-0.016807,0.056938,0.02141,-0.069698,-0.007446,-0.000614,-0.020937,-0.030386,-0.01901,0.009442,-0.037052,-0.023536,0.057402,-0.002854,0.070031,-0.046661,-0.011308,-0.009476,0.052007,-0.018935,-0.026171,0.003276,-0.023435,0.043027,-0.034317,-0.00656,0.0006,0.005272,-0.06573,0.013111,0.00089,-0.042659,-0.0201,0.077235,0.100134,-0.014676,-0.006859,0.055749,0.0766,-0.002445,0.05395,0.005055,0.09052,-0.03196,0.030548,-0.025588,-0.082356,-0.034886,0.034505,-0.005175,-0.055517,-0.068786,0.019542,0.042148,0.009945,-0.053324,0.003,-0.043054,0.004071,0.03073,0.012322,-0.030353,0.038654,0.004154,-0.053651,0.000616,-0.005312,-0.022329,-0.003023,0.014665,-0.055329,0.008341,0.088083,0.041872,0.007843,0.057958,0.020593,0.037101,0.01696,-0.008398,-0.012888,0.034483,0.027042,0.042034,-0.041638,0.034596,-0.01701,-0.036553,Insoluble
0.005434,0.055151,0.008319,0.028786,0.006887,0.086536,-0.080803,-0.068704,0.043854,0.0149,-0.010622,0.04428,0.008934,0.025553,-0.00172,-0.011864,0.016324,-0.065546,0.023527,0.044008,0.069092,0.031747,0.008812,-0.0145,0.043469,0.013934,0.03288,0.007362,-0.026252,-0.128529,-0.100356,0.016469,-0.027058,-0.008328,0.084246,0.005431,-0.091793,-0.004256,-0.038235,0.035217,0.013327,0.090261,-0.000107,-0.034128,-0.033394,0.039787,-0.116006,0.011308,-0.17999,-0.059359,0.062581,0.097092,-0.027242,-0.03043,0.032129,0.040194,-0.010157,0.069474,-0.079433,0.064095,-0.022284,-0.019603,0.095326,-0.022771,-0.041026,0.100959,0.033356,0.015759,0.060557,0.10377,-0.116248,-0.093217,0.014817,0.01988,0.039646,-0.043937,0.101925,0.062626,-0.077458,-0.016745,-0.002936,-0.037274,0.063083,-0.036743,-0.051165,0.100713,-0.017941,-0.000138,-0.054434,-0.011354,-0.061778,0.006092,-0.031683,-0.041186,0.006322,0.097602,-0.010069,0.066359,0.028053,0.061589,-0.034326,0.0243,0.068392,-0.003213,0.011961,-0.10058,-0.003063,-0.044955,0.076704,-0.006192,-0.068975,0.013651,-0.040359,-0.034744,-0.0198,0.026088,0.075716,0.084157,0.045642,0.014878,0.029034,-0.00928,0.004756,0.025779,0.017799,0.036251,0.053724,0.000649,0.090783,0.104283,0.002312,0.057395,-0.000197,0.013316,-0.030989,0.056966,-0.02477,0.109706,-0.02541,0.037691,-0.001022,-0.026032,0.039275,0.111294,-0.055314,-0.005338,0.0376,0.060531,-0.02726,0.0705,-0.052789,0.097887,0.026072,-0.002109,0.10631,0.028721,-0.024953,-0.06157,-0.016292,-0.098533,0.057038,-0.004468,-0.136738,-0.002951,-0.038718,-0.012539,-0.015477,0.023483,0.162367,0.019525,-0.092879,0.068405,-0.046011,0.145148,-0.033246,-0.057291,-0.062263,0.015482,-0.11301,-0.107501,0.015507,0.088419,-0.038735,Insoluble
0.044011,-0.070828,-0.022852,-0.114918,0.006789,-0.002892,0.00863,0.01895,0.050287,0.078439,-0.002166,-0.047763,0.033122,0.005779,0.01242,-0.077888,-0.053232,0.053469,-0.004918,-0.007209,0.004655,-0.049059,-0.005054,0.01069,0.008918,0.019975,-0.019175,-0.017869,0.014547,0.006599,0.047595,-0.021281,-0.027284,-0.025426,-0.05115,0.013108,0.019733,0.026171,-0.028813,0.038487,-0.055028,0.017696,-0.04908,0.027741,0.056453,-0.002282,-0.061053,0.051304,0.009114,-0.023366,0.027451,-0.015195,-0.043995,0.022963,0.003551,-0.020495,-0.010324,0.031327,-0.055274,0.038338,-0.039608,0.04103,0.022088,-0.008441,-0.07935,0.067066,-0.065981,0.004335,0.005545,-0.035471,-0.027311,0.01632,-0.012352,0.039129,-0.02919,0.021227,-0.000888,-0.069298,0.062561,-0.023693,0.009629,0.02682,-0.031966,0.023244,-0.041063,-0.001692,-0.026501,-0.031895,0.009349,0.003389,0.012267,-0.013391,-0.040818,0.014102,0.057736,0.034528,0.005793,-0.071108,-0.054904,0.040461,-0.022826,-0.059657,-0.027815,-0.015204,-0.018797,0.000946,-0.015627,0.071959,0.067957,0.005596,-0.0995,-0.020374,-0.002467,0.102835,-0.037451,0.03336,-0.060668,0.026386,-0.055804,0.000788,-0.001482,0.00031,-0.03568,-0.049337,0.063807,0.093464,0.009668,-0.012385,0.035559,0.021427,-0.095705,-0.04614,0.0087,0.025694,0.052925,0.006438,-0.046213,0.110937,-0.023835,-0.018844,0.089835,-0.05109,0.028557,-0.059135,-0.046971,-0.008796,-0.003483,0.096249,0.019493,-0.007852,0.088068,0.051164,-0.06943,-0.002885,0.082553,0.025398,-0.036,0.006359,-0.080744,-0.053592,-0.004129,0.053958,-0.010119,-0.06749,0.019282,-0.015713,0.050243,0.033056,-0.019654,0.044284,-0.000973,-0.032026,0.029881,-0.040412,0.012247,0.04316,-0.086121,-0.021764,0.031356,0.047052,0.01537,-0.005642,0.018074,Insoluble
-0.038907,0.063271,-0.029867,0.07503,0.01489,-0.019049,-0.03258,-0.062761,0.023071,0.049369,0.05334,0.024533,0.105859,0.023031,0.040874,-0.017515,0.084076,-0.010525,0.012535,-0.033537,0.039569,0.015316,-0.039175,-0.01209,-0.013373,-0.047734,0.006532,0.008283,-0.013596,0.020013,-0.049876,-0.027187,-0.047952,0.015057,-0.106836,-0.03782,-0.08917,-0.020557,-0.033136,0.006225,-0.052667,0.024328,-0.076221,0.010129,-0.054508,-0.010036,-0.059595,-0.023205,-0.116341,-0.075006,-0.026895,0.082867,-0.055541,-0.015622,-0.001031,-0.037411,0.010989,0.011506,-0.0525,-0.01294,-0.06977,-0.035797,0.090392,-0.057148,0.009534,0.047928,-0.024007,-0.018607,0.074825,-0.025768,-0.026154,-0.028569,0.003209,-0.050188,0.047195,-0.000095,0.075232,0.024001,-0.011425,-0.050091,0.014947,-0.020347,0.020131,-0.065946,-0.004643,0.054525,-0.021387,-0.000097,-0.054187,-0.050624,0.023882,-0.03916,-0.018913,-0.075578,-0.021357,0.173699,0.013689,0.075588,0.106455,0.043582,-0.015169,0.093263,0.01669,0.052139,0.019329,-0.058238,0.059227,-0.01649,0.042371,-0.010399,-0.031551,0.002075,-0.03958,0.014438,-0.013339,0.053202,0.04275,-0.023248,-0.098575,0.019331,0.045061,-0.002438,-0.015444,-0.07196,0.045302,-0.024215,-0.028257,-0.036599,-0.002532,0.101398,0.052729,-0.046477,-0.034641,-0.027029,-0.02916,-0.020492,-0.007961,-0.008929,-0.007627,-0.022277,0.032064,-0.036416,0.023775,0.037543,0.051204,0.009377,-0.003602,0.025304,0.015855,0.105178,-0.04884,0.061039,0.063973,0.010825,0.10478,-0.012996,-0.060329,-0.082507,0.003538,-0.049034,0.045478,0.036473,-0.008332,0.035566,-0.03883,0.046229,-0.045527,-0.032097,0.100456,0.004959,-0.116822,0.001216,-0.030527,0.037635,-0.006485,-0.012668,-0.025008,0.020852,-0.017024,-0.047383,0.01944,0.027297,-0.0125,Insoluble
0.029299,0.01504,-0.035393,0.007318,-0.019368,0.021905,-0.025521,-0.02902,0.026101,0.051327,0.054683,-0.026406,0.007803,-0.03697,0.028687,-0.015841,-0.005335,0.061984,-0.03633,-0.014187,-0.001439,-0.000709,-0.020229,0.034129,-0.002091,0.034356,0.005106,-0.044048,-0.023126,0.012527,-0.021144,0.056021,0.11137,-0.063383,0.013146,-0.047492,0.038648,0.044103,0.064089,-0.043021,-0.044668,-0.026378,-0.006019,-0.122288,-0.002362,-0.041702,-0.021871,0.049629,-0.013334,0.056492,0.014125,0.025327,0.002371,-0.072528,-0.071098,0.080954,-0.010056,-0.049696,-0.034223,0.004423,-0.026051,0.01094,0.035272,0.018474,0.037845,-0.078324,-0.029158,-0.038626,0.046506,0.078668,-0.027341,0.029151,-0.055735,0.038824,-0.047386,0.002464,0.016705,0.004313,0.025545,-0.008406,-0.005188,0.051289,0.028753,0.091104,0.030734,-0.01742,0.03016,0.048679,-0.009107,-0.025231,-0.00324,0.001056,0.004074,-0.008414,0.060994,0.004285,0.032448,0.048869,-0.032101,-0.11576,-0.026854,-0.007102,0.013648,0.064588,0.029775,0.06065,-0.041834,0.028022,-0.004997,0.090227,-0.010815,-0.006516,-0.002393,0.089269,0.01324,-0.041999,-0.051221,0.005482,-0.038667,0.041912,-0.031743,0.05524,-0.071836,-0.043673,-0.006719,-0.036332,-0.007118,-0.042209,0.023139,0.033931,-0.021026,0.060515,0.013511,0.005303,0.009781,-0.016976,-0.005177,0.099223,-0.020181,-0.004884,-0.007174,0.052663,-0.014064,0.049465,-0.059054,-0.020401,-0.065594,0.003989,0.041205,0.008835,-0.004642,0.007196,-0.056907,0.013494,0.048287,-0.00232,0.052673,-0.09831,0.027767,-0.035413,-0.021225,0.063923,-0.010917,0.011823,-0.065224,-0.038562,-0.039407,0.018966,0.054552,0.090983,0.009388,0.028931,0.028785,0.042193,-0.068147,0.011001,0.065485,0.069103,-0.031858,-0.119763,-0.002469,-0.031596,0.029906,Insoluble
0.041473,-0.032763,0.081956,-0.072539,-0.000522,0.010133,0.002865,0.054681,-0.116457,0.001347,0.012244,0.045636,-0.060516,-0.084689,0.03506,-0.056596,0.06129,-0.03303,-0.059745,-0.032168,-0.028431,-0.088782,-0.043183,-0.015786,-0.011723,0.055215,-0.07182,-0.032601,-0.055117,-0.026368,-0.049344,-0.024781,0.00955,-0.020339,0.038808,-0.051587,0.056833,-0.056244,0.027418,0.051923,-0.050908,-0.028713,0.030812,-0.102268,-0.058584,0.068078,-0.007829,0.010167,0.068406,0.130308,0.048509,-0.053408,0.061661,-0.029474,0.145497,0.043141,-0.037508,-0.065023,0.000621,0.025529,0.01209,0.045416,-0.044541,-0.056199,0.017086,0.03592,-0.12381,0.062468,0.045864,0.029141,-0.013352,0.034265,0.042586,0.130601,-0.021988,-0.042957,-0.015018,-0.037957,-0.087126,0.070917,0.002522,-0.025592,0.021216,-0.085784,-0.071349,-0.068299,-0.015725,0.057149,-0.041455,-0.040447,-0.007186,0.020478,-0.110614,0.004317,0.032351,0.016894,-0.070257,-0.010394,-0.037855,-0.001781,0.045545,-0.075085,-0.06152,0.014293,0.078612,-0.043202,-0.057466,0.034185,0.044335,0.103458,-0.004443,-0.057951,0.068647,0.038342,0.013334,0.032041,-0.009361,0.020388,0.057532,-0.040493,0.071107,0.005089,-0.085851,0.032646,0.056465,0.027711,0.058635,-0.075905,0.070177,-0.0013,0.001126,-0.044597,-0.017708,0.016986,0.014572,0.02723,-0.057763,0.057473,0.0479,0.002918,0.004667,0.005444,0.007425,-0.04876,-0.074352,-0.053408,0.038214,0.094946,-0.004105,-0.026976,0.068191,-0.028209,0.062284,0.031987,-0.020012,0.056406,0.050785,-0.041785,0.040122,0.008359,0.084821,-0.013323,-0.050014,-0.096829,0.030145,-0.007993,0.083318,0.08488,0.009587,0.103186,0.041315,-0.016491,-0.021334,-0.007433,-0.061628,-0.04315,0.018805,0.077601,0.014594,-0.023936,-0.002633,-0.051351,0.02047,Insoluble
