@relation PLS1-weka.filters.supervised.attribute.PLSFilter-C100-M-APLS1-Pcenter-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute PLS1_1 numeric
@attribute PLS1_2 numeric
@attribute PLS1_3 numeric
@attribute PLS1_4 numeric
@attribute PLS1_5 numeric
@attribute PLS1_6 numeric
@attribute PLS1_7 numeric
@attribute PLS1_8 numeric
@attribute PLS1_9 numeric
@attribute PLS1_10 numeric
@attribute PLS1_11 numeric
@attribute PLS1_12 numeric
@attribute PLS1_13 numeric
@attribute PLS1_14 numeric
@attribute PLS1_15 numeric
@attribute PLS1_16 numeric
@attribute PLS1_17 numeric
@attribute PLS1_18 numeric
@attribute PLS1_19 numeric
@attribute PLS1_20 numeric
@attribute PLS1_21 numeric
@attribute PLS1_22 numeric
@attribute PLS1_23 numeric
@attribute PLS1_24 numeric
@attribute PLS1_25 numeric
@attribute PLS1_26 numeric
@attribute PLS1_27 numeric
@attribute PLS1_28 numeric
@attribute PLS1_29 numeric
@attribute PLS1_30 numeric
@attribute PLS1_31 numeric
@attribute PLS1_32 numeric
@attribute PLS1_33 numeric
@attribute PLS1_34 numeric
@attribute PLS1_35 numeric
@attribute PLS1_36 numeric
@attribute PLS1_37 numeric
@attribute PLS1_38 numeric
@attribute PLS1_39 numeric
@attribute PLS1_40 numeric
@attribute PLS1_41 numeric
@attribute PLS1_42 numeric
@attribute PLS1_43 numeric
@attribute PLS1_44 numeric
@attribute PLS1_45 numeric
@attribute PLS1_46 numeric
@attribute PLS1_47 numeric
@attribute PLS1_48 numeric
@attribute PLS1_49 numeric
@attribute PLS1_50 numeric
@attribute PLS1_51 numeric
@attribute PLS1_52 numeric
@attribute PLS1_53 numeric
@attribute PLS1_54 numeric
@attribute PLS1_55 numeric
@attribute PLS1_56 numeric
@attribute PLS1_57 numeric
@attribute PLS1_58 numeric
@attribute PLS1_59 numeric
@attribute PLS1_60 numeric
@attribute PLS1_61 numeric
@attribute PLS1_62 numeric
@attribute PLS1_63 numeric
@attribute PLS1_64 numeric
@attribute PLS1_65 numeric
@attribute PLS1_66 numeric
@attribute PLS1_67 numeric
@attribute PLS1_68 numeric
@attribute PLS1_69 numeric
@attribute PLS1_70 numeric
@attribute PLS1_71 numeric
@attribute PLS1_72 numeric
@attribute PLS1_73 numeric
@attribute PLS1_74 numeric
@attribute PLS1_75 numeric
@attribute PLS1_76 numeric
@attribute PLS1_77 numeric
@attribute PLS1_78 numeric
@attribute PLS1_79 numeric
@attribute PLS1_80 numeric
@attribute PLS1_81 numeric
@attribute PLS1_82 numeric
@attribute PLS1_83 numeric
@attribute PLS1_84 numeric
@attribute PLS1_85 numeric
@attribute PLS1_86 numeric
@attribute PLS1_87 numeric
@attribute PLS1_88 numeric
@attribute PLS1_89 numeric
@attribute PLS1_90 numeric
@attribute PLS1_91 numeric
@attribute PLS1_92 numeric
@attribute PLS1_93 numeric
@attribute PLS1_94 numeric
@attribute PLS1_95 numeric
@attribute PLS1_96 numeric
@attribute PLS1_97 numeric
@attribute PLS1_98 numeric
@attribute PLS1_99 numeric
@attribute PLS1_100 numeric
@attribute Class {-1,1}

@data
-2571588.116283,24169.744746,-938.44763,-1012.318133,2443.809606,-168.414242,105.925184,460.806303,86.164972,-16.209293,-354.883001,-52.426558,257.845713,315.132383,-67.587085,55.216458,44.932656,55.230392,30.149988,9.548658,-4.165194,5.188841,-27.623221,15.646962,9.080775,-0.182128,15.836826,8.190909,-5.346141,-11.610623,-6.984571,-5.356639,-4.885925,-17.608435,-6.822854,-2.579734,1.025567,4.216562,10.543192,2.403517,5.436913,2.444098,-4.836458,0.662268,-9.112373,6.023504,-3.14421,-0.564318,5.459595,-1.988667,2.816301,3.574962,-2.612245,-9.245055,-5.150249,0.922717,0.256852,1.506257,3.297228,2.616934,3.385917,1.896746,-1.044124,1.81587,-4.459008,0.032242,-1.69885,-3.803651,0.771091,-0.844121,1.52479,0.516841,-0.932915,-1.637048,-2.082653,1692.429548,-1746396.004924,-85233693.30405,-189443692.597692,261638379.074953,-233641262.076979,522482679.734286,224237077.584071,848103903.957976,1945597187.503067,-653533664.428635,891816111.993888,-1800027029.648118,-1483449518.580228,-1149016952.560395,175717592.932134,162899833.457275,492779499.288208,-2587753510.563356,-3937286511.250937,1587548401.70375,481209319.777874,3820792182.292168,776629429.412636,-821262789.592736,1
-2571484.226182,25401.245179,-817.644506,-971.137205,2421.660864,-182.045283,126.962646,502.402731,109.202444,51.088122,-239.388008,-8.452269,206.160552,262.612688,-48.922582,27.285317,30.742552,41.946093,14.483502,1.43019,-2.310459,-1.798422,-26.292149,8.279156,11.643883,-5.797314,13.256866,5.832001,-8.962014,-4.011057,-6.89296,1.192312,1.905712,-4.810834,0.141775,1.47938,0.338079,2.417487,7.159393,0.343495,1.455639,2.191591,-2.455017,0.894528,-3.749128,5.020651,-1.768277,-1.613417,4.113818,-2.689209,2.314631,3.077834,-0.774416,-5.187938,-3.765613,-1.163322,-0.540557,-1.385444,-1.232437,-2.124031,0.521513,-0.760574,-0.521469,0.63204,0.448047,1.145013,0.171383,-0.905647,1.148472,0.112838,-0.975069,-1.896794,-2.270603,-3.201499,-5.683082,437.330799,-234087.202818,-14228325.73459,-28360646.025619,42534943.89065,-34494740.99362,67283383.803663,38000070.031593,99702658.511055,321195231.108448,-87045998.328932,128598517.700708,-358222639.161499,-255033760.444048,-162355290.001553,24464806.226502,28780818.087866,53588477.078197,-325704897.414206,-501740172.86849,221311145.551469,72429109.129076,566001387.601039,186128143.281287,-111426660.002698,1
-2573109.792053,26438.610473,-1670.833391,-234.048451,2102.726903,-194.8015,105.999409,531.125113,106.564389,84.060415,-155.643228,23.209052,159.719761,213.113409,-38.186475,-7.505458,16.444826,29.889499,9.673086,8.172285,2.446804,-0.105853,-7.781847,9.4957,12.538794,1.208788,14.134837,-0.023551,-3.431313,-1.661531,-7.02386,0.142405,-1.24351,-3.990867,-0.358295,-2.303612,1.097924,2.138257,5.103236,2.529352,0.705644,2.401015,0.606903,-0.027672,-1.315516,3.382515,-0.888608,-1.916482,0.4291,-3.221111,1.847116,2.962452,-0.791057,-2.614337,-0.908476,0.177527,0.820285,0.392505,0.205359,0.35572,-0.796671,-0.705882,-1.388581,-1.097145,0.773368,0.732289,0.204764,-0.968278,-0.329752,-0.788071,-0.131675,0.645942,-0.300789,-0.128093,-0.407103,-184.896058,63991.781513,707889.34932,5600041.297104,-3630014.649851,7427047.026343,-28572481.12965,-1230740.617668,-57945682.733186,-20930765.024604,32340504.708791,-32137305.339537,-54652251.193396,3651546.084736,45459374.110806,-7288984.277227,469881.865434,-38751421.710831,150796292.579921,221986521.661758,-66566492.031603,-13636646.762732,-119589707.952653,61966751.569316,37985805.246072,1
-2572371.246889,25144.907732,-2135.049978,46.100318,1974.280767,-244.364844,85.722599,333.597843,95.482666,46.397844,-154.24546,-71.896569,-46.070412,99.932048,-71.055108,9.884819,67.564239,59.467729,28.147603,42.159703,-2.763694,9.785288,-32.190152,-5.616872,0.270203,3.718837,17.498475,10.716258,6.710734,-15.21839,0.453968,-2.892494,1.565852,-9.624078,5.496625,3.273631,0.607845,3.378084,3.963744,1.195143,5.375319,0.18128,-1.073483,5.51264,4.519338,7.083835,-3.978053,-5.110057,-6.611875,-14.747599,-1.624837,-3.559526,0.207458,8.479027,0.695248,1.769662,5.149315,1.822968,1.545645,-1.271541,-0.686156,1.133216,-2.944463,-3.853261,-0.213009,0.763886,2.480475,0.084375,-1.526377,3.359438,-3.762237,-2.876646,0.041174,1.774056,-5.860529,136.183284,620557.594636,24989414.981848,60538228.097828,-78407773.422785,75472632.457801,-184054775.056048,-64809022.346566,-313489830.995959,-575581288.830758,225646074.570625,-292779757.058979,437769471.61258,423157381.073617,382369736.237015,-59139443.458443,-45202148.522071,-189057527.094703,923143211.438175,1394941529.253826,-532870714.797031,-153280924.90092,-1230854588.720631,-140000597.39806,280567159.785402,1
-2572236.688808,27158.660489,-1606.609361,-207.727204,1825.073929,-230.504925,62.870134,538.795592,97.010894,97.401404,-62.73073,74.082549,140.793991,191.273948,-8.581808,-41.738994,1.274258,4.331534,-5.990773,19.90122,2.110323,5.060304,18.927809,13.858342,5.50909,7.171782,11.780184,-6.943697,4.249627,-3.036462,-5.634801,2.424465,-5.123561,-8.176545,-2.701172,-1.630759,3.916702,-1.543546,4.252214,0.634732,0.512906,2.892188,3.844301,0.507918,-4.567797,0.20605,-1.152696,-0.250416,0.688645,-2.264803,1.148382,4.769625,-1.802521,-2.301047,-0.822337,-0.997424,1.539628,0.181473,0.885711,1.015688,-0.850296,-1.136426,-0.613858,-1.627162,1.766438,-0.410675,-0.203834,-0.327921,0.144971,-0.776666,0.924969,2.575156,4.275322,8.368237,10.983965,3.277659,-477338.534597,-23926656.34988,-50225759.277303,72323277.604275,-61643166.096925,129287841.402363,63335097.875617,201564022.299013,542281516.281942,-164031929.288155,232515606.884335,-554569029.090626,-422285377.075155,-296657431.32261,45240014.177367,46918406.209262,113686772.344267,-633546513.657604,-969219729.261311,407072650.800553,128124438.14985,1008911093.501998,266817962.679998,-208230947.800295,1
-2570902.159838,27409.856218,-1647.0638,-205.255046,1304.275251,-315.799293,-5.981992,540.150513,108.798871,86.748947,40.458745,142.267999,148.246007,250.659211,66.839969,-49.338557,28.340065,-8.363188,-44.870839,37.607496,-1.105893,-1.838531,-13.144306,-2.211203,28.485227,-37.301955,35.40593,-8.812347,-10.991968,12.586382,-12.736114,16.78452,-7.851161,-8.281644,6.070425,-4.535132,5.773984,-6.832129,-4.618174,-3.701159,4.167779,6.787068,10.118628,-4.736087,-2.517798,-3.956536,5.355734,-2.616836,3.522973,-3.076959,-3.608896,6.572844,-3.392068,-0.258104,1.051726,-0.113647,-2.778513,-1.556805,0.662092,-1.394495,-0.577021,-1.553857,0.526998,-2.89336,1.689042,1.448848,1.543121,0.96893,1.478499,0.052477,-1.064241,0.263159,3.17112,5.167182,4.230366,199.304695,-627616.483455,-31241972.471345,-66843823.681137,94917983.403701,-82170795.775254,176221901.238553,82537620.348239,278746600.364554,709756500.60282,-222466205.829172,311207026.292294,-703166656.076437,-548919537.611188,-398394948.393329,60808734.337321,60762865.088234,158933669.951734,-866825160.148067,-1323525328.211164,547983393.259024,170265431.272541,1344526838.6538,327616052.714943,-281398566.098532,1
-2574595.837049,27173.873833,-1903.119936,45.734382,1879.599108,-102.487718,88.565787,485.081504,105.064478,104.302571,-75.659358,74.420737,138.335581,171.248674,-14.410499,-23.347215,6.843701,25.476357,-2.270654,12.029814,2.959413,1.060268,-6.889242,5.937924,18.381366,-6.010503,11.71885,-1.712279,-10.884562,4.018824,-7.264125,-0.169599,-3.290968,1.654044,0.354051,-1.510957,0.165083,1.644297,3.301774,1.359653,-3.026738,2.003966,-1.618668,-2.154415,-0.979853,2.110925,1.400643,-0.114331,1.254859,-0.511115,2.801896,1.791025,-1.655053,-2.189918,-0.940445,-0.120386,0.549463,0.001862,-1.761607,0.109872,0.203251,0.504464,-0.316026,0.745599,0.469748,0.663635,0.092813,0.131154,-0.221708,0.10973,1.411284,0.935438,2.327006,2.051843,2.352345,1130.161033,-1451105.450876,-70582117.13033,-156138054.719952,216362503.062192,-192518615.73669,428451474.393314,185762113.370588,693456896.532638,1610045133.201705,-536436220.718962,734153576.718033,-1502322809.819579,-1229736427.692474,-945173855.558013,144554909.040014,135144856.079499,402167847.027398,-2120341479.584606,-3227371182.69612,1305188833.259315,396786654.245609,3148332470.154317,654869587.380004,-674690054.512205,1
-2573573.871451,27742.830389,-1697.574107,-104.445148,1013.649297,-29.216468,-26.875849,338.821049,114.684716,54.410456,83.290843,201.17139,145.007895,223.897287,80.876275,-66.322568,10.904951,-16.503331,-39.472162,64.077528,3.495042,2.971922,5.718024,-10.440003,23.679084,-16.677299,29.898113,0.362479,-0.929048,6.50683,-7.38527,12.518452,-4.784138,-8.209342,0.902635,-7.945529,4.897688,-5.977254,-4.639354,1.701728,0.442012,5.549542,2.779978,-9.47378,-7.363002,-5.018615,3.616974,1.029866,5.347914,1.056744,-3.6904,1.23079,-3.247625,-0.409924,3.272969,-1.679021,-0.160558,0.682892,-0.903696,-2.452134,0.482346,0.5207,-1.097322,-0.140703,0.707763,-0.122746,0.326152,0.355803,0.02422,-0.260655,-0.073852,-2.919234,-3.015833,-6.211298,-8.192186,-508.280905,1062106.112527,46381317.797947,109122294.659703,-144471373.993854,135492324.643864,-321268176.08943,-120955659.947921,-539119966.72849,-1065272864.11958,396472085.000622,-522851566.789089,872345079.703621,793447968.878387,679816330.498244,-104665737.172024,-85675791.412419,-321346187.091031,1605115466.735581,2430727838.647707,-944824990.956085,-276491962.17188,-2212103718.909403,-317863680.267637,494489735.693081,1
-2575663.307715,27604.265702,-1923.087624,89.147047,1580.238167,-67.896512,72.066708,392.79808,81.706888,130.864493,8.643984,59.961767,150.43769,116.014417,2.69263,-34.679594,-6.910804,24.968855,-12.106651,13.584229,-0.340219,0.067801,-11.926971,-0.343953,24.127761,-9.252303,14.050799,0.323435,-13.696449,6.160176,-8.851256,0.619185,-1.58085,6.855911,0.480192,-1.011336,-1.269091,1.594425,0.692746,-0.090632,-3.392295,2.060651,1.429171,-2.499979,3.432685,3.619214,1.683662,0.155863,-1.046178,-1.678572,1.798841,1.185759,-0.983494,-2.522836,-0.663193,0.765877,1.068738,-0.118294,-1.687916,0.529358,-0.103229,-0.510395,-0.17444,-0.062565,-1.187832,1.06412,-0.79872,-0.717926,-0.348201,0.463422,0.872784,1.716504,3.261822,6.15529,6.0074,1976.966367,-2508943.317146,-120148126.72472,-268573738.571595,369300671.21143,-331529220.881247,746187832.447444,315760718.134704,1215844279.878559,2743923512.117576,-931844738.563614,1266895768.672101,-2508776400.347621,-2087212838.677364,-1633879159.008579,250141795.211277,228758685.008232,708741349.469099,-3699268912.948423,-5625405737.827915,2258831458.71144,682126018.886477,5420232324.819923,1067101695.695738,-1170176902.207764,1
-2575327.884811,27238.617897,-1965.51028,-2.689347,1257.494358,-345.587071,-10.177641,407.791813,91.532512,56.142717,24.505281,35.855299,-85.117671,55.222494,-30.106069,-27.686697,46.277539,48.305957,-7.846416,40.789865,-3.397835,9.928942,-28.427163,-6.052604,9.984729,-14.078379,11.254386,1.273891,-11.247865,-6.773706,2.700058,-3.083356,-7.698093,3.139386,12.31365,4.369525,-0.31648,-2.457452,0.246321,-8.068924,0.532277,-0.65183,4.688476,2.471277,5.91581,1.734433,2.758527,1.317418,-4.087914,-6.150216,4.53938,4.141869,-0.601742,7.849928,-0.61831,1.010993,-0.622537,-1.344123,2.376438,2.533769,-0.789717,0.536348,3.517629,-1.557023,-0.47065,-0.446196,-0.703329,0.039859,-0.269293,3.490005,1.415804,1.952833,3.441733,6.925251,6.590753,1654.380796,-2295274.758416,-109748719.355309,-244953667.811874,337182145.846673,-302352633.779076,679489095.806395,288462831.520267,1106168171.834808,2505851865.30174,-848800583.489417,1155051097.488852,-2297476816.474682,-1907187780.457447,-1489284556.737423,228016658.428448,209076135.554336,644449180.067277,-3367759499.172911,-5121905108.163714,2058566412.853466,622230750.782938,4943212198.00272,980612697.026053,-1066189724.782623,1
