@relation '복사본 RV-data-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Remove-R2-98,100-217,219-310,313-315,317-342,344-490,492-682,684-1014'

@attribute Class {-1,1}
@attribute AlogP98_026_C numeric
@attribute Auto_Geary_04_polarizability numeric
@attribute Auto_Moran_07_E_state numeric
@attribute Auto_Moran_07_MPEOE_charge numeric
@attribute Auto_Moran_07_polarizability numeric
@attribute Auto_Moreau_Bruto_00_MPEOE_charge_average numeric
@attribute BCUT_highest_eigenvalue_02_AlogP98 numeric
@attribute Fraction_of_2D_VSA_hydrophobic_sat numeric

@data
1,3.92,0.68701,0.98,0.98,0.98,0.018323,0.798338,0.588842
1,2.97,-0.481596,0.99,0.99,0.99,0.077009,1.04054,0.153045
1,5.82,-0.121477,0.97,0.97,0.97,0.020393,0.790218,0.728069
1,0.98,0.013892,0.98,0.98,0.98,0.017767,0.558938,0.376894
1,0.99,-0.00686,0.99,0.99,0.99,0.030558,0.431124,0.119618
1,0,1.45679,0.99,0.99,0.99,0.033009,0.165185,0.091704
1,0,-0.73719,0.995,0.995,0.995,0.026296,0.450735,0.161768
1,0,0.03004,0.995,0.995,0.995,0.024725,0.436008,0.131038
1,0,-0.33,2.31,1.7503,2.31,0.033766,0.508634,0.860171
1,0,-0.373358,0.99,0.99,0.99,0.023991,0.572149,0.324234
1,0,-0.691579,0.98,0.98,0.98,0.032365,0.559973,0.340034
1,1.98,-0.943367,0.99,0.99,0.99,0.022179,0.44847,0.252556
1,0,0.029459,0.99,0.99,0.99,0.020043,0.63459,0.849671
1,1.98,-0.99,0.99,0.99,0.99,0.010022,0.80646,0.561965
1,0,0.495,0.99,0.99,0.99,0.008286,0.634778,0.705177
1,0,-0.709363,0.691544,0.575189,0.681944,0.022839,0.63511,0.623982
1,0,-0.78308,0.99,0.99,0.99,0.036215,0.44847,0.171863
1,0,0,0.99,0.99,0.99,0.000344,0.630257,0.99
1,0,-0.245,0.98,0.98,0.98,0.008297,0.628386,0.698054
-1,0,-0.320943,0.99,0.99,0.99,0.013976,0.586585,0.520757
-1,0,0.11,0.99,0.99,0.99,0.035596,0.434298,0.762152
-1,0.99,-0.609009,0.99,0.99,0.99,0.012792,0.63459,0.583603
-1,1.98,-0.132,0,0.00013,0,0.011697,0.579792,0.228721
-1,0,-0.99,0,0.957611,1.85625,0.007055,0.610861,0.616015
-1,0,-0.710554,0.99,0.99,0.99,0.06695,0.072434,0.312895
-1,0,-0.676306,0.997,0.997,0.997,0.04915,0.43827,0.617026
-1,0,-0.766692,0.99,0.99,0.99,0.032993,0.425313,0.370404
-1,0,0,0.99,0.99,0.99,0.080108,0.101562,0.768915
-1,0,0,0.998,0.998,0.998,0.094237,0.101097,0.794639
-1,0,-0.326216,0.998,0.998,0.998,0.262215,0.437823,0.771587
-1,0,-0.61875,1.6335,1.59401,1.6335,0.042001,0.143594,0.946225
-1,0,-0.742952,0,0.01533,0,0.018188,0.574783,0.400869
-1,0,-0.559513,0.99,0.99,0.99,0.02859,0.417175,0.742647
-1,0,0,0.999,0.999,0.999,0.524427,0.101199,0.696293
-1,0,-0.45375,1.287,1.46081,1.287,0.042279,0.127724,0.694212
-1,0,-0.412733,0.99,0.99,0.99,0.07143,0.416995,0.712692
-1,0,0,0.998,0.998,0.998,0.106348,0.101097,0.674791
-1,0,0,0.99,0.99,0.99,0.038197,0.132483,0.646565
-1,0,0,0.99,0.99,0.99,0.519702,0.100287,0.69002
-1,0,0,0.99,0.99,0.99,0.404625,0.257827,0.647624
-1,0,-0.4125,0.99,0.99,0.99,0.059514,0.108574,0.701192
1,0.99,-0.915567,0.99,0.99,0.99,0.057022,1.04049,0.165909
1,1.98,-0.667164,0.99,0.99,0.99,0.029729,0.44847,0.243883
1,2.97,-0.2475,0.99,0.99,0.99,0.009175,0.806496,0.661943
1,0,-0.612858,0.99,0.99,0.99,0.017696,0.44847,0.209138
1,0,-0.579162,0.99,0.99,0.99,0.016845,0.44847,0.37825
-1,0,-0.950355,0.99,0.99,0.99,0.026504,0.44847,0.351002
-1,0,-0.44,1.2375,1.74577,1.2375,0.053714,0.130584,0.766042
-1,1.98,-0.584995,0,0,0,0.019716,0.44847,0.560675
